date,item_id,normal_price,price,quantity,store_id
2023-08-01,bc2f82a22e11,189.0,100.0,8.0,1
2023-08-01,389412076801,179.0,100.0,5.0,1
2023-08-01,0e39cf5d57c1,149.0,100.0,5.0,1
2023-08-01,dd94e2bc5601,149.0,100.0,1.0,1
2023-08-01,e60d890f2812,369.0,270.0,1.0,1
2023-08-01,fb45888e228e,589.0,350.0,1.0,1
2023-08-02,0e39cf5d57c1,149.0,100.0,3.0,1
2023-08-02,fb45888e228e,589.0,350.0,6.0,1
2023-08-03,bc2f82a22e11,189.0,100.0,1.0,1
2023-08-03,389412076801,179.0,100.0,1.0,1
2023-08-03,0e39cf5d57c1,149.0,100.0,6.0,1
2023-08-03,dd94e2bc5601,149.0,100.0,1.0,1
2023-08-03,3a95d538a917,229.0,120.0,5.0,1
2023-08-03,e60d890f2812,369.0,270.0,1.0,1
2023-08-03,a9d8c085adc0,549.0,300.0,1.0,1
2023-08-03,fb45888e228e,589.0,350.0,4.0,1
2023-08-03,74d6ed799e21,529.0,370.0,2.0,1
2023-08-03,f049b16ba53a,719.0,370.0,2.0,1
2023-08-04,0e39cf5d57c1,149.0,100.0,4.0,1
2023-08-04,dd94e2bc5601,149.0,100.0,4.0,1
2023-08-04,a9d8c085adc0,549.0,300.0,9.0,1
2023-08-04,17abde81f33d,469.0,320.0,1.0,1
2023-08-04,fb45888e228e,589.0,350.0,5.0,1
2023-08-04,4849cb059ba3,559.0,370.0,6.0,1
2023-08-04,f049b16ba53a,719.0,370.0,1.0,1
2023-08-04,76c18abd8f7c,529.0,380.0,4.0,1
2023-08-05,95879f411e24,189.0,100.0,2.0,1
2023-08-05,389412076801,179.0,100.0,2.0,1
2023-08-05,0e39cf5d57c1,149.0,100.0,4.0,1
2023-08-05,3a95d538a917,229.0,120.0,3.0,1
2023-08-05,44c942fe217c,529.0,220.0,8.0,1
2023-08-05,a9d8c085adc0,549.0,300.0,3.0,1
2023-08-05,4849cb059ba3,559.0,370.0,5.0,1
2023-08-05,74d6ed799e21,529.0,370.0,2.0,1
2023-08-05,f049b16ba53a,719.0,370.0,2.0,1
2023-08-05,76c18abd8f7c,529.0,380.0,2.0,1
2023-08-06,95879f411e24,189.0,100.0,1.0,1
2023-08-06,0e39cf5d57c1,149.0,100.0,3.0,1
2023-08-06,dd94e2bc5601,149.0,100.0,5.0,1
2023-08-06,3a95d538a917,229.0,120.0,1.0,1
2023-08-06,44c942fe217c,529.0,220.0,2.0,1
2023-08-06,f611e25fa53a,559.0,270.0,3.0,1
2023-08-06,e60d890f2812,369.0,270.0,1.0,1
2023-08-06,a9d8c085adc0,549.0,300.0,1.0,1
2023-08-06,fb45888e228e,589.0,350.0,5.0,1
2023-08-06,4849cb059ba3,559.0,370.0,2.0,1
2023-08-06,74d6ed799e21,529.0,370.0,1.0,1
2023-08-06,f049b16ba53a,719.0,370.0,1.0,1
2023-08-06,76c18abd8f7c,529.0,380.0,1.0,1
2023-08-07,d63b63612407,159.0,100.0,5.0,1
2023-08-07,389412076801,179.0,100.0,7.0,1
2023-08-07,f0c2857afa61,199.0,100.0,4.0,1
2023-08-07,e7ff6ea67040,209.0,120.0,14.0,1
2023-08-07,fb45888e228e,589.0,350.0,1.0,1
2023-08-07,74d6ed799e21,529.0,370.0,1.0,1
2023-08-07,76c18abd8f7c,529.0,380.0,2.0,1
2023-08-08,d63b63612407,159.0,100.0,4.0,1
2023-08-08,bc2f82a22e11,189.0,100.0,5.0,1
2023-08-08,389412076801,179.0,100.0,11.0,1
2023-08-08,f0c2857afa61,199.0,100.0,3.0,1
2023-08-08,dd94e2bc5601,149.0,100.0,13.0,1
2023-08-08,e7ff6ea67040,209.0,120.0,18.0,1
2023-08-08,f611e25fa53a,559.0,270.0,1.0,1
2023-08-09,bc2f82a22e11,189.0,100.0,3.0,1
2023-08-09,dd94e2bc5601,149.0,100.0,4.0,1
2023-08-09,e7ff6ea67040,209.0,120.0,16.0,1
2023-08-09,74d6ed799e21,529.0,370.0,1.0,1
2023-08-10,d63b63612407,159.0,100.0,2.0,1
2023-08-10,bc2f82a22e11,189.0,100.0,2.0,1
2023-08-10,dd94e2bc5601,159.0,100.0,3.0,1
2023-08-10,e7ff6ea67040,219.0,120.0,2.0,1
2023-08-10,e60d890f2812,379.0,270.0,1.0,1
2023-08-12,e7ff6ea67040,219.0,120.0,2.0,1
2023-08-19,95879f411e24,189.0,100.0,2.0,1
2023-08-19,f0c2857afa61,199.0,100.0,1.0,1
2023-08-19,0e39cf5d57c1,149.0,100.0,7.0,1
2023-08-19,e7ff6ea67040,219.0,120.0,3.0,1
2023-08-19,44c942fe217c,529.0,220.0,1.0,1
2023-08-19,e60d890f2812,379.0,270.0,1.0,1
2023-08-19,a9d8c085adc0,549.0,300.0,1.0,1
2023-08-19,fb45888e228e,599.0,350.0,4.0,1
2023-08-19,4849cb059ba3,569.0,370.0,4.0,1
2023-08-19,f049b16ba53a,729.0,370.0,1.0,1
2023-08-19,76c18abd8f7c,539.0,380.0,2.0,1
2023-08-20,389412076801,179.0,100.0,8.0,1
2023-08-20,f0c2857afa61,199.0,100.0,2.0,1
2023-08-20,0e39cf5d57c1,149.0,100.0,9.0,1
2023-08-20,dd94e2bc5601,159.0,100.0,2.0,1
2023-08-20,3a95d538a917,229.0,120.0,1.0,1
2023-08-20,e7ff6ea67040,219.0,120.0,4.0,1
2023-08-20,44c942fe217c,529.0,220.0,11.0,1
2023-08-20,e60d890f2812,379.0,270.0,6.0,1
2023-08-20,a9d8c085adc0,549.0,300.0,11.0,1
2023-08-20,fb45888e228e,599.0,350.0,13.0,1
2023-08-20,4849cb059ba3,569.0,370.0,7.0,1
2023-08-20,f049b16ba53a,729.0,370.0,4.0,1
2023-08-20,76c18abd8f7c,539.0,380.0,7.0,1
2023-08-21,389412076801,179.0,100.0,2.0,1
2023-08-21,0e39cf5d57c1,149.0,100.0,9.0,1
2023-08-21,e7ff6ea67040,219.0,120.0,11.0,1
2023-08-21,a9d8c085adc0,549.0,300.0,7.0,1
2023-08-21,fb45888e228e,599.0,350.0,10.0,1
2023-08-21,4849cb059ba3,569.0,370.0,5.0,1
2023-08-21,76c18abd8f7c,539.0,380.0,6.0,1
2023-08-22,95879f411e24,189.0,100.0,2.0,1
2023-08-22,389412076801,179.0,100.0,2.0,1
2023-08-22,dd94e2bc5601,159.0,100.0,2.0,1
2023-08-22,e7ff6ea67040,219.0,120.0,6.0,1
2023-08-22,a9d8c085adc0,549.0,300.0,1.0,1
2023-08-22,4849cb059ba3,569.0,370.0,1.0,1
2023-08-22,f049b16ba53a,729.0,370.0,1.0,1
2023-08-23,bc2f82a22e11,189.0,100.0,4.0,1
2023-08-23,0e39cf5d57c1,149.0,100.0,1.0,1
2023-08-23,e7ff6ea67040,219.0,120.0,5.0,1
2023-08-23,e60d890f2812,379.0,270.0,2.0,1
2023-08-23,a9d8c085adc0,549.0,300.0,3.0,1
2023-08-23,17abde81f33d,479.0,320.0,1.0,1
2023-08-23,f049b16ba53a,729.0,370.0,1.0,1
2023-08-23,76c18abd8f7c,539.0,380.0,1.0,1
2023-08-24,bc2f82a22e11,189.0,100.0,3.0,1
2023-08-24,95879f411e24,189.0,100.0,1.0,1
2023-08-24,389412076801,179.0,100.0,4.0,1
2023-08-24,e7ff6ea67040,219.0,120.0,6.0,1
2023-08-24,e60d890f2812,379.0,270.0,1.0,1
2023-08-24,4849cb059ba3,569.0,370.0,4.0,1
2023-08-24,76c18abd8f7c,539.0,380.0,1.0,1
2023-08-26,f0c2857afa61,199.0,100.0,1.0,1
2023-08-26,e7ff6ea67040,219.0,120.0,1.0,1
2023-08-26,f611e25fa53a,569.0,270.0,2.0,1
2023-08-26,17abde81f33d,479.0,320.0,1.0,1
2023-08-26,f049b16ba53a,729.0,370.0,3.0,1
2023-08-27,bc2f82a22e11,189.0,100.0,3.0,1
2023-08-27,95879f411e24,189.0,100.0,1.0,1
2023-08-27,dd94e2bc5601,159.0,100.0,2.0,1
2023-08-27,3a95d538a917,229.0,120.0,4.0,1
2023-08-27,44c942fe217c,529.0,220.0,4.0,1
2023-08-27,f611e25fa53a,569.0,270.0,5.0,1
2023-08-27,a9d8c085adc0,549.0,300.0,1.0,1
2023-08-27,4849cb059ba3,569.0,370.0,1.0,1
2023-08-27,74d6ed799e21,539.0,370.0,3.0,1
2023-08-27,f049b16ba53a,729.0,370.0,4.0,1
2023-08-27,76c18abd8f7c,539.0,380.0,2.0,1
2023-08-28,3a95d538a917,229.0,120.0,1.0,1
2023-08-28,f611e25fa53a,569.0,270.0,1.0,1
2023-08-28,4849cb059ba3,569.0,370.0,2.0,1
2023-08-28,74d6ed799e21,539.0,370.0,1.0,1
