store_id,item_id,avg_daily_forecast,std_daily_forecast,unit_price,total_actual_sales,total_predicted_sales,safety_stock,reorder_point,eoq,current_stock,days_of_supply,risk_level,quadrant,recommended_action,stockout_score,overstock_score,revenue_at_risk,locked_capital
0,001829cb707d,2.8030215470408337,0.5290662129471316,138.26625,69.0,67.27251712898001,3.0,23.0,61.0,22.0,7.848673166007421,BALANCED INVENTORY,Healthy ✅,No action needed; leave as is.,46.1,6.4,0.0,0.0
0,001a4fbee4ce,1.1884560838102691,0.1,1559.9,1.0,1.1884560838102691,1.0,10.0,12.0,22.0,18.5114118221908,HIGH OVERSTOCK,Markdown / clear 🏷️,Promote or discount to free up capital.,0.0,86.3,0.0,18718.800000000003
0,001b302a9387,4.0510086461491595,0.6179724960786406,78.84071428571428,119.0,113.42824209217648,3.0,32.0,97.0,54.0,13.33001351437049,BALANCED INVENTORY,Healthy ✅,No action needed; leave as is.,5.0,47.5,0.0,0.0
0,0022b986c8f0,1.8405532675134482,0.1,69.9,1.0,1.8405532675134482,1.0,14.0,70.0,20.0,10.866297842615342,BALANCED INVENTORY,Healthy ✅,No action needed; leave as is.,23.5,29.0,0.0,0.0
0,002555e3c4fa,4.464056498916646,1.6990504653810512,98.26703703703704,144.0,120.52952547074943,8.0,40.0,92.0,21.0,4.704241535718994,MEDIUM RISK (REORDER),Watch / volatile ⚠️,Investigate — demand is erratic; review manually.,69.7,0.0,1007.0794594234978,0.0
0,00274a69c705,1.946023253737719,0.24537231121527742,35.375882352941176,27.0,33.08239531354122,2.0,16.0,101.0,9.0,4.624816267078894,MEDIUM RISK (REORDER),Watch / volatile ⚠️,Investigate — demand is erratic; review manually.,70.3,0.0,163.51308658572273,0.0
0,002f51c34a7a,3.1265898172788145,0.4085850952936121,97.63615384615385,86.0,81.29133524924917,2.0,24.0,77.0,8.0,2.558698283922223,CRITICAL STOCKOUT,Reorder now 🚨,Raise a replenishment order before stock runs out.,85.8,0.0,1355.7882001263358,0.0
0,0033a62250ac,1.2447381235861652,0.2693832678887672,118.501,11.0,12.447381235861652,2.0,11.0,44.0,22.0,17.67440040851057,HIGH OVERSTOCK,Markdown / clear 🏷️,Promote or discount to free up capital.,0.0,80.1,0.0,1303.511
0,00412be5561a,1.390412846004405,0.2997463059408394,266.77166666666665,7.0,8.34247707602643,2.0,12.0,31.0,17.0,12.226584390997594,BALANCED INVENTORY,Healthy ✅,No action needed; leave as is.,13.3,39.2,0.0,0.0
0,004585d4b2f4,1.7719553123737333,0.26485513236316927,99.9,4.0,3.5439106247474665,2.0,15.0,57.0,25.0,14.108707948458187,HIGH OVERSTOCK,Markdown / clear 🏷️,Promote or discount to free up capital.,0.0,53.3,0.0,999.0
0,004c615c8f87,2.8572483714257526,0.7052201100725176,277.745625,47.0,45.71597394281204,4.0,25.0,44.0,7.0,2.4499095248436644,CRITICAL STOCKOUT,Reorder now 🚨,Raise a replenishment order before stock runs out.,86.6,0.0,3610.898267913145,0.0
0,005addd8096b,2.627448786310984,0.6183833560817927,68.48391304347827,63.0,60.43132208515264,3.0,22.0,84.0,48.0,18.268671971868734,HIGH OVERSTOCK,Markdown / clear 🏷️,Promote or discount to free up capital.,0.0,84.5,0.0,1780.581739130435
0,005dae645588,1.3032811519734042,0.001352180518525484,126.0,3.0,2.6065623039468084,1.0,11.0,44.0,21.0,16.113177090148344,HIGH OVERSTOCK,Markdown / clear 🏷️,Promote or discount to free up capital.,0.0,68.3,0.0,1260.0
0,0062dbaa1e6e,2.098950215555568,0.29331017953752364,234.31833333333336,24.0,25.187402586666817,2.0,17.0,41.0,11.0,5.24071505768822,MEDIUM RISK (REORDER),Watch / volatile ⚠️,Investigate — demand is erratic; review manually.,65.7,0.0,865.2559471436832,0.0
